"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","2018",1323863.624,
"AUS","GDP","TOT","MLN_USD","A","2019",1337588.806,
"AUS","GDP","TOT","MLN_USD","A","2020",1430866.404,
"AUS","GDP","TOT","MLN_USD","A","2021",1595112.956,
"AUT","GDP","TOT","MLN_USD","A","2018",503361.417,
"AUT","GDP","TOT","MLN_USD","A","2019",530169.037,
"AUT","GDP","TOT","MLN_USD","A","2020",510568.008,
"AUT","GDP","TOT","MLN_USD","A","2021",537014.574,
"AUT","GDP","TOT","MLN_USD","A","2022",622665.496,
"BEL","GDP","TOT","MLN_USD","A","2018",600269.926,
"BEL","GDP","TOT","MLN_USD","A","2019",641098.699,
"BEL","GDP","TOT","MLN_USD","A","2020",629659.269,"P"
"BEL","GDP","TOT","MLN_USD","A","2021",681853.013,"P"
"BEL","GDP","TOT","MLN_USD","A","2022",773801.715,"P"
"CAN","GDP","TOT","MLN_USD","A","2018",1852987.755,
"CAN","GDP","TOT","MLN_USD","A","2019",1873760.081,
"CAN","GDP","TOT","MLN_USD","A","2020",1794940.001,
"CAN","GDP","TOT","MLN_USD","A","2021",2026899.115,
"CAN","GDP","TOT","MLN_USD","A","2022",2221280.61,
"CZE","GDP","TOT","MLN_USD","A","2018",437355.916,
"CZE","GDP","TOT","MLN_USD","A","2019",471832.671,
"CZE","GDP","TOT","MLN_USD","A","2020",458157.819,
"CZE","GDP","TOT","MLN_USD","A","2021",479378.76,
"CZE","GDP","TOT","MLN_USD","A","2022",534055.096,
"DNK","GDP","TOT","MLN_USD","A","2018",333035.355,
"DNK","GDP","TOT","MLN_USD","A","2019",348345.911,
"DNK","GDP","TOT","MLN_USD","A","2020",354736.865,
"DNK","GDP","TOT","MLN_USD","A","2021",380007.666,
"DNK","GDP","TOT","MLN_USD","A","2022",441729.033,
"FIN","GDP","TOT","MLN_USD","A","2018",273455.993,
"FIN","GDP","TOT","MLN_USD","A","2019",286082.927,
"FIN","GDP","TOT","MLN_USD","A","2020",289224.32,
"FIN","GDP","TOT","MLN_USD","A","2021",303129.453,
"FIN","GDP","TOT","MLN_USD","A","2022",332318.393,
"FRA","GDP","TOT","MLN_USD","A","2018",3125379.86,
"FRA","GDP","TOT","MLN_USD","A","2019",3403158.941,
"FRA","GDP","TOT","MLN_USD","A","2020",3252531.255,
"FRA","GDP","TOT","MLN_USD","A","2021",3479874.481,"P"
"FRA","GDP","TOT","MLN_USD","A","2022",3814783.882,"P"
"DEU","GDP","TOT","MLN_USD","A","2018",4576056.532,
"DEU","GDP","TOT","MLN_USD","A","2019",4769328.306,"P"
"DEU","GDP","TOT","MLN_USD","A","2020",4697130.976,"P"
"DEU","GDP","TOT","MLN_USD","A","2021",4891842.639,"P"
"DEU","GDP","TOT","MLN_USD","A","2022",5371318.279,"P"
"GRC","GDP","TOT","MLN_USD","A","2018",317881.481,
"GRC","GDP","TOT","MLN_USD","A","2019",334040.54,
"GRC","GDP","TOT","MLN_USD","A","2020",304016.729,"P"
"GRC","GDP","TOT","MLN_USD","A","2021",333014.632,"P"
"GRC","GDP","TOT","MLN_USD","A","2022",393631.536,"P"
"HUN","GDP","TOT","MLN_USD","A","2018",311927.137,
"HUN","GDP","TOT","MLN_USD","A","2019",338526.704,
"HUN","GDP","TOT","MLN_USD","A","2020",333161.834,
"HUN","GDP","TOT","MLN_USD","A","2021",357064.87,"P"
"HUN","GDP","TOT","MLN_USD","A","2022",413146.473,"P"
"ISL","GDP","TOT","MLN_USD","A","2018",20174.854,
"ISL","GDP","TOT","MLN_USD","A","2019",21492.457,
"ISL","GDP","TOT","MLN_USD","A","2020",19900.372,
"ISL","GDP","TOT","MLN_USD","A","2021",21678.937,
"ISL","GDP","TOT","MLN_USD","A","2022",25335.76,
"IRL","GDP","TOT","MLN_USD","A","2018",412301.576,
"IRL","GDP","TOT","MLN_USD","A","2019",442690.205,
"IRL","GDP","TOT","MLN_USD","A","2020",468339.713,
"IRL","GDP","TOT","MLN_USD","A","2021",536386.735,
"IRL","GDP","TOT","MLN_USD","A","2022",656439.507,
"ITA","GDP","TOT","MLN_USD","A","2018",2600326.872,
"ITA","GDP","TOT","MLN_USD","A","2019",2735577.365,
"ITA","GDP","TOT","MLN_USD","A","2020",2564455.924,
"ITA","GDP","TOT","MLN_USD","A","2021",2760717.633,
"ITA","GDP","TOT","MLN_USD","A","2022",3092145.9,
"JPN","GDP","TOT","MLN_USD","A","2018",5344060.937,
"JPN","GDP","TOT","MLN_USD","A","2019",5352898.847,
"JPN","GDP","TOT","MLN_USD","A","2020",5263052.866,
"JPN","GDP","TOT","MLN_USD","A","2021",5383426.681,
"KOR","GDP","TOT","MLN_USD","A","2018",2220442.286,
"KOR","GDP","TOT","MLN_USD","A","2019",2247126.568,
"KOR","GDP","TOT","MLN_USD","A","2020",2316806.899,
"KOR","GDP","TOT","MLN_USD","A","2021",2425556.12,"P"
"LUX","GDP","TOT","MLN_USD","A","2018",70825.278,
"LUX","GDP","TOT","MLN_USD","A","2019",74115.971,
"LUX","GDP","TOT","MLN_USD","A","2020",75656.711,
"LUX","GDP","TOT","MLN_USD","A","2021",84175.446,
"LUX","GDP","TOT","MLN_USD","A","2022",93962.589,"P"
"MEX","GDP","TOT","MLN_USD","A","2018",2535949.668,
"MEX","GDP","TOT","MLN_USD","A","2019",2529761.704,
"MEX","GDP","TOT","MLN_USD","A","2020",2333740.769,"P"
"MEX","GDP","TOT","MLN_USD","A","2021",2480684.356,"P"
"NLD","GDP","TOT","MLN_USD","A","2018",996447.288,
"NLD","GDP","TOT","MLN_USD","A","2019",1044307.685,
"NLD","GDP","TOT","MLN_USD","A","2020",1043402.526,
"NLD","GDP","TOT","MLN_USD","A","2021",1111051.53,"P"
"NLD","GDP","TOT","MLN_USD","A","2022",1256312.118,"P"
"NZL","GDP","TOT","MLN_USD","A","2018",208377.269,
"NZL","GDP","TOT","MLN_USD","A","2019",228675.405,
"NZL","GDP","TOT","MLN_USD","A","2020",231495.346,
"NZL","GDP","TOT","MLN_USD","A","2021",242673.983,"E"
"NOR","GDP","TOT","MLN_USD","A","2018",373182.531,
"NOR","GDP","TOT","MLN_USD","A","2019",373905.514,
"NOR","GDP","TOT","MLN_USD","A","2020",350366.117,
"NOR","GDP","TOT","MLN_USD","A","2021",442761.845,
"NOR","GDP","TOT","MLN_USD","A","2022",518561.227,
"POL","GDP","TOT","MLN_USD","A","2018",1216240.494,
"POL","GDP","TOT","MLN_USD","A","2019",1327882.052,
"POL","GDP","TOT","MLN_USD","A","2020",1338432.734,
"POL","GDP","TOT","MLN_USD","A","2021",1439480.291,
"POL","GDP","TOT","MLN_USD","A","2022",1643788.812,
"PRT","GDP","TOT","MLN_USD","A","2018",359198.932,
"PRT","GDP","TOT","MLN_USD","A","2019",383670.579,
"PRT","GDP","TOT","MLN_USD","A","2020",359941.428,
"PRT","GDP","TOT","MLN_USD","A","2021",378292.824,"P"
"PRT","GDP","TOT","MLN_USD","A","2022",435020.402,"P"
"SVK","GDP","TOT","MLN_USD","A","2018",170864.165,
"SVK","GDP","TOT","MLN_USD","A","2019",182476.832,
"SVK","GDP","TOT","MLN_USD","A","2020",179661.812,
"SVK","GDP","TOT","MLN_USD","A","2021",184710.462,
"SVK","GDP","TOT","MLN_USD","A","2022",201893.756,
"ESP","GDP","TOT","MLN_USD","A","2018",1905450.021,
"ESP","GDP","TOT","MLN_USD","A","2019",2031924.567,
"ESP","GDP","TOT","MLN_USD","A","2020",1799328.046,"P"
"ESP","GDP","TOT","MLN_USD","A","2021",1928019.184,"P"
"ESP","GDP","TOT","MLN_USD","A","2022",2225886.52,"P"
"SWE","GDP","TOT","MLN_USD","A","2018",544594.071,
"SWE","GDP","TOT","MLN_USD","A","2019",579773.396,
"SWE","GDP","TOT","MLN_USD","A","2020",581247.942,
"SWE","GDP","TOT","MLN_USD","A","2021",626269.585,
"SWE","GDP","TOT","MLN_USD","A","2022",683843.355,
"CHE","GDP","TOT","MLN_USD","A","2018",601868.008,
"CHE","GDP","TOT","MLN_USD","A","2019",623154.669,
