"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","M3","TOT","IDX2015","A","2012",81.87012,
"AUS","M3","TOT","IDX2015","A","2013",87.33128,
"AUS","M3","TOT","IDX2015","A","2014",93.63412,
"AUS","M3","TOT","IDX2015","A","2015",100,
"AUS","M3","TOT","IDX2015","A","2016",105.9424,
"AUS","M3","TOT","IDX2015","A","2017",113.1856,
"AUS","M3","TOT","IDX2015","A","2018",116.246,
"AUS","M3","TOT","IDX2015","A","2019",119.7481,
"AUS","M3","TOT","IDX2015","A","2020",129.7414,
"AUS","M3","TOT","IDX2015","A","2021",141.2423,
"CAN","M3","TOT","IDX2015","A","2012",80.67679,
"CAN","M3","TOT","IDX2015","A","2013",85.95999,
"CAN","M3","TOT","IDX2015","A","2014",93.06658,
"CAN","M3","TOT","IDX2015","A","2015",100,
"CAN","M3","TOT","IDX2015","A","2016",108.6319,
"CAN","M3","TOT","IDX2015","A","2017",115.3959,
"CAN","M3","TOT","IDX2015","A","2018",121.1103,
"CAN","M3","TOT","IDX2015","A","2019",130.4668,
"CAN","M3","TOT","IDX2015","A","2020",147.2861,
"CAN","M3","TOT","IDX2015","A","2021",157.656,
"CZE","M3","TOT","IDX2015","A","2012",84.10152,
"CZE","M3","TOT","IDX2015","A","2013",88.0103,
"CZE","M3","TOT","IDX2015","A","2014",92.7415,
"CZE","M3","TOT","IDX2015","A","2015",100,
"CZE","M3","TOT","IDX2015","A","2016",108.7079,
"CZE","M3","TOT","IDX2015","A","2017",118.9602,
"CZE","M3","TOT","IDX2015","A","2018",125.3931,
"CZE","M3","TOT","IDX2015","A","2019",133.9637,
"CZE","M3","TOT","IDX2015","A","2020",147.1607,
"CZE","M3","TOT","IDX2015","A","2021",161.4131,
"DNK","M3","TOT","IDX2015","A","2012",87.56701,
"DNK","M3","TOT","IDX2015","A","2013",77.41481,
"DNK","M3","TOT","IDX2015","A","2014",85.05178,
"DNK","M3","TOT","IDX2015","A","2015",100,
"DNK","M3","TOT","IDX2015","A","2016",100.4333,
"DNK","M3","TOT","IDX2015","A","2017",101.2909,
"DNK","M3","TOT","IDX2015","A","2018",101.0792,
"HUN","M3","TOT","IDX2015","A","2012",88.44031,
"HUN","M3","TOT","IDX2015","A","2013",91.75137,
"HUN","M3","TOT","IDX2015","A","2014",95.52663,
"HUN","M3","TOT","IDX2015","A","2015",100,
"HUN","M3","TOT","IDX2015","A","2016",104.5647,
"HUN","M3","TOT","IDX2015","A","2017",114.5925,
"HUN","M3","TOT","IDX2015","A","2018",130.3667,
"HUN","M3","TOT","IDX2015","A","2019",140.2503,
"HUN","M3","TOT","IDX2015","A","2020",159.9109,
"HUN","M3","TOT","IDX2015","A","2021",187.8843,
"ISL","M3","TOT","IDX2015","A","2012",87.00611,
"ISL","M3","TOT","IDX2015","A","2013",86.03509,
"ISL","M3","TOT","IDX2015","A","2014",91.62878,
"ISL","M3","TOT","IDX2015","A","2015",100,
"ISL","M3","TOT","IDX2015","A","2016",96.65594,
"ISL","M3","TOT","IDX2015","A","2017",99.06471,
"ISL","M3","TOT","IDX2015","A","2018",104.7006,
"ISL","M3","TOT","IDX2015","A","2019",109.9899,
"ISL","M3","TOT","IDX2015","A","2020",117.634,
"ISL","M3","TOT","IDX2015","A","2021",128.6014,
"JPN","M3","TOT","IDX2015","A","2012",91.82384,
"JPN","M3","TOT","IDX2015","A","2013",94.50056,
"JPN","M3","TOT","IDX2015","A","2014",97.11024,
"JPN","M3","TOT","IDX2015","A","2015",100,
"JPN","M3","TOT","IDX2015","A","2016",102.8454,
"JPN","M3","TOT","IDX2015","A","2017",106.3046,
"JPN","M3","TOT","IDX2015","A","2018",108.9956,
"JPN","M3","TOT","IDX2015","A","2019",111.2016,
"JPN","M3","TOT","IDX2015","A","2020",117.1703,
"JPN","M3","TOT","IDX2015","A","2021",123.6529,
"KOR","M3","TOT","IDX2015","A","2012",79.5785,
"KOR","M3","TOT","IDX2015","A","2013",85.03368,
"KOR","M3","TOT","IDX2015","A","2014",91.04727,
"KOR","M3","TOT","IDX2015","A","2015",100,
"KOR","M3","TOT","IDX2015","A","2016",108.2333,
"KOR","M3","TOT","IDX2015","A","2017",115.5206,
"KOR","M3","TOT","IDX2015","A","2018",123.5893,
"KOR","M3","TOT","IDX2015","A","2019",133.336,
"KOR","M3","TOT","IDX2015","A","2020",144.401,
"KOR","M3","TOT","IDX2015","A","2021",157.5905,
"MEX","M3","TOT","IDX2015","A","2012",72.7664,
"MEX","M3","TOT","IDX2015","A","2013",82.50158,
"MEX","M3","TOT","IDX2015","A","2014",91.59879,
"MEX","M3","TOT","IDX2015","A","2015",100,
"MEX","M3","TOT","IDX2015","A","2016",104.7979,
"MEX","M3","TOT","IDX2015","A","2017",112.5588,
"MEX","M3","TOT","IDX2015","A","2018",120.343,
"NZL","M3","TOT","IDX2015","A","2012",78.80669,
"NZL","M3","TOT","IDX2015","A","2013",86.02088,
"NZL","M3","TOT","IDX2015","A","2014",92.12289,
"NZL","M3","TOT","IDX2015","A","2015",100,
"NZL","M3","TOT","IDX2015","A","2016",108.7966,
"NZL","M3","TOT","IDX2015","A","2017",116.093,
"NZL","M3","TOT","IDX2015","A","2018",124.3037,
"NOR","M3","TOT","IDX2015","A","2012",86.66582,
"NOR","M3","TOT","IDX2015","A","2013",90.798,
"NOR","M3","TOT","IDX2015","A","2014",96.78416,
"NOR","M3","TOT","IDX2015","A","2015",100,
"NOR","M3","TOT","IDX2015","A","2016",103.834,
"NOR","M3","TOT","IDX2015","A","2017",110.4406,
"NOR","M3","TOT","IDX2015","A","2018",116.7444,
"NOR","M3","TOT","IDX2015","A","2019",121.8231,
"NOR","M3","TOT","IDX2015","A","2020",133.0651,
"NOR","M3","TOT","IDX2015","A","2021",147.2036,
"POL","M3","TOT","IDX2015","A","2012",81.79071,
"POL","M3","TOT","IDX2015","A","2013",86.78455,
"POL","M3","TOT","IDX2015","A","2014",92.31976,
"POL","M3","TOT","IDX2015","A","2015",100,
"POL","M3","TOT","IDX2015","A","2016",110.1444,
"POL","M3","TOT","IDX2015","A","2017",117.0482,
"POL","M3","TOT","IDX2015","A","2018",125.0418,
"SWE","M3","TOT","IDX2015","A","2012",88.10864,
"SWE","M3","TOT","IDX2015","A","2013",90.19654,
"SWE","M3","TOT","IDX2015","A","2014",93.84963,
"SWE","M3","TOT","IDX2015","A","2015",100,
"SWE","M3","TOT","IDX2015","A","2016",108.3645,
"SWE","M3","TOT","IDX2015","A","2017",118.9012,
"SWE","M3","TOT","IDX2015","A","2018",125.5085,
"CHE","M3","TOT","IDX2015","A","2012",84.58798,
"CHE","M3","TOT","IDX2015","A","2013",92.86771,
"CHE","M3","TOT","IDX2015","A","2014",98.13197,
"CHE","M3","TOT","IDX2015","A","2015",100,
"CHE","M3","TOT","IDX2015","A","2016",102.2686,
"CHE","M3","TOT","IDX2015","A","2017",106.0411,
"CHE","M3","TOT","IDX2015","A","2018",109.1192,
"TUR","M3","TOT","IDX2015","A","2012",62.76408,
"TUR","M3","TOT","IDX2015","A","2013",73.0752,
"TUR","M3","TOT","IDX2015","A","2014",85.20625,
"TUR","M3","TOT","IDX2015","A","2015",100,
"TUR","M3","TOT","IDX2015","A","2016",112.3562,
"TUR","M3","TOT","IDX2015","A","2017",133.5267,
"TUR","M3","TOT","IDX2015","A","2018",159.914,
"GBR","M3","TOT","IDX2015","A","2012",96.66581,
"GBR","M3","TOT","IDX2015","A","2013",100.7175,
"GBR","M3","TOT","IDX2015","A","2014",100.2179,
"GBR","M3","TOT","IDX2015","A","2015",100,
"GBR","M3","TOT","IDX2015","A","2016",106.492,
"GBR","M3","TOT","IDX2015","A","2017",115.5471,
"GBR","M3","TOT","IDX2015","A","2018",119.6562,
"GBR","M3","TOT","IDX2015","A","2019",121.3155,
"GBR","M3","TOT","IDX2015","A","2020",131.6558,
"GBR","M3","TOT","IDX2015","A","2021",142.2274,
"USA","M3","TOT","IDX2015","A","2012",83.43669,
"USA","M3","TOT","IDX2015","A","2013",89.05904,
"USA","M3","TOT","IDX2015","A","2014",94.55131,
"USA","M3","TOT","IDX2015","A","2015",100,
"USA","M3","TOT","IDX2015","A","2016",106.7659,
"USA","M3","TOT","IDX2015","A","2017",112.8325,
"USA","M3","TOT","IDX2015","A","2018",117.0927,
"USA","M3","TOT","IDX2015","A","2019",123.0229,
"USA","M3","TOT","IDX2015","A","2020",146.5377,
"USA","M3","TOT","IDX2015","A","2021",170.4097,
"BRA","M3","TOT","IDX2015","A","2012",74.15891,
"BRA","M3","TOT","IDX2015","A","2013",82.62949,
"BRA","M3","TOT","IDX2015","A","2014",90.78605,
"BRA","M3","TOT","IDX2015","A","2015",100,
"BRA","M3","TOT","IDX2015","A","2016",110.7789,
"BRA","M3","TOT","IDX2015","A","2017",121.5595,
"BRA","M3","TOT","IDX2015","A","2018",130.4643,
"CHL","M3","TOT","IDX2015","A","2012",73.9477,
"CHL","M3","TOT","IDX2015","A","2013",81.39795,
"CHL","M3","TOT","IDX2015","A","2014",89.55688,
"CHL","M3","TOT","IDX2015","A","2015",100,
"CHL","M3","TOT","IDX2015","A","2016",110.4768,
"CHL","M3","TOT","IDX2015","A","2017",118.6149,
"CHL","M3","TOT","IDX2015","A","2018",126.1831,
"CHN","M3","TOT","IDX2015","A","2012",69.04137,
"CHN","M3","TOT","IDX2015","A","2013",79.28802,
"CHN","M3","TOT","IDX2015","A","2014",89.45573,
"CHN","M3","TOT","IDX2015","A","2015",100,
"CHN","M3","TOT","IDX2015","A","2016",112.0977,
"CHN","M3","TOT","IDX2015","A","2017",123.0405,
"CHN","M3","TOT","IDX2015","A","2018",133.8814,
"COL","M3","TOT","IDX2015","A","2012",69.64529,
"COL","M3","TOT","IDX2015","A","2013",81.05499,
"COL","M3","TOT","IDX2015","A","2014",90.71681,
"COL","M3","TOT","IDX2015","A","2015",100,
"COL","M3","TOT","IDX2015","A","2016",109.967,
"COL","M3","TOT","IDX2015","A","2017",116.6682,
"COL","M3","TOT","IDX2015","A","2018",123.2269,
"COL","M3","TOT","IDX2015","A","2019",132.6726,
"COL","M3","TOT","IDX2015","A","2020",150.669,
"COL","M3","TOT","IDX2015","A","2021",163.9985,
"CRI","M3","TOT","IDX2015","A","2012",74.97345,
"CRI","M3","TOT","IDX2015","A","2013",81.88085,
"CRI","M3","TOT","IDX2015","A","2014",93.69452,
"CRI","M3","TOT","IDX2015","A","2015",100,
"CRI","M3","TOT","IDX2015","A","2016",103.3766,
"CRI","M3","TOT","IDX2015","A","2017",107.3573,
"CRI","M3","TOT","IDX2015","A","2018",107.1223,
"CRI","M3","TOT","IDX2015","A","2019",109.4364,
"CRI","M3","TOT","IDX2015","A","2020",125.7913,
"CRI","M3","TOT","IDX2015","A","2021",139.9598,
"IND","M3","TOT","IDX2015","A","2012",70.3542,
"IND","M3","TOT","IDX2015","A","2013",79.6637,
"IND","M3","TOT","IDX2015","A","2014",89.97865,
"IND","M3","TOT","IDX2015","A","2015",100,
"IND","M3","TOT","IDX2015","A","2016",110.2528,
"IND","M3","TOT","IDX2015","A","2017",117.9072,
"IND","M3","TOT","IDX2015","A","2018",129.2797,
"IDN","M3","TOT","IDX2015","A","2012",69.75153,
"IDN","M3","TOT","IDX2015","A","2013",79.41177,
"IDN","M3","TOT","IDX2015","A","2014",88.53931,
"IDN","M3","TOT","IDX2015","A","2015",100,
"IDN","M3","TOT","IDX2015","A","2016",107.7691,
"IDN","M3","TOT","IDX2015","A","2017",118.5173,
"IDN","M3","TOT","IDX2015","A","2018",126.768,
"ISR","M3","TOT","IDX2015","A","2012",78.73905,
"ISR","M3","TOT","IDX2015","A","2013",83.97284,
"ISR","M3","TOT","IDX2015","A","2014",92.13583,
"ISR","M3","TOT","IDX2015","A","2015",100,
"ISR","M3","TOT","IDX2015","A","2016",105.4823,
"ISR","M3","TOT","IDX2015","A","2017",111.336,
"ISR","M3","TOT","IDX2015","A","2018",115.7497,
"ISR","M3","TOT","IDX2015","A","2019",123.9201,
"ISR","M3","TOT","IDX2015","A","2020",142.8635,
"ISR","M3","TOT","IDX2015","A","2021",169.0542,
"RUS","M3","TOT","IDX2015","A","2012",64.59406,
"RUS","M3","TOT","IDX2015","A","2013",74.96262,
"RUS","M3","TOT","IDX2015","A","2014",84.57198,
"RUS","M3","TOT","IDX2015","A","2015",100,
"RUS","M3","TOT","IDX2015","A","2016",112.7294,
"RUS","M3","TOT","IDX2015","A","2017",115.7909,
"RUS","M3","TOT","IDX2015","A","2018",126.3493,
"RUS","M3","TOT","IDX2015","A","2019",137.2829,
"RUS","M3","TOT","IDX2015","A","2020",153.9683,
"RUS","M3","TOT","IDX2015","A","2021",171.9368,
"ZAF","M3","TOT","IDX2015","A","2012",79.84854,
"ZAF","M3","TOT","IDX2015","A","2013",85.90054,
"ZAF","M3","TOT","IDX2015","A","2014",91.9975,
"ZAF","M3","TOT","IDX2015","A","2015",100,
"ZAF","M3","TOT","IDX2015","A","2016",106.6338,
"ZAF","M3","TOT","IDX2015","A","2017",113.416,
"ZAF","M3","TOT","IDX2015","A","2018",120.4699,
"ZAF","M3","TOT","IDX2015","A","2019",129.1217,
"ZAF","M3","TOT","IDX2015","A","2020",141.3317,
"ZAF","M3","TOT","IDX2015","A","2021",147.0632,
"OECD","M3","TOT","IDX2015","A","2012",82.86936,
"OECD","M3","TOT","IDX2015","A","2013",88.51701,
