"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXREV","TOT","PC_GDP","A","2018",28.627,
"AUS","TAXREV","TOT","PC_GDP","A","2019",27.711,
"AUS","TAXREV","TOT","PC_GDP","A","2020",28.549,
"AUT","TAXREV","TOT","PC_GDP","A","2018",42.244,
"AUT","TAXREV","TOT","PC_GDP","A","2019",42.577,
"AUT","TAXREV","TOT","PC_GDP","A","2020",42.232,
"AUT","TAXREV","TOT","PC_GDP","A","2021",43.46,
"BEL","TAXREV","TOT","PC_GDP","A","2018",43.82,
"BEL","TAXREV","TOT","PC_GDP","A","2019",42.41,
"BEL","TAXREV","TOT","PC_GDP","A","2020",42.494,
"BEL","TAXREV","TOT","PC_GDP","A","2021",42.015,
"CAN","TAXREV","TOT","PC_GDP","A","2018",33.495,
"CAN","TAXREV","TOT","PC_GDP","A","2019",33.079,
"CAN","TAXREV","TOT","PC_GDP","A","2020",34.258,
"CAN","TAXREV","TOT","PC_GDP","A","2021",33.249,
"CZE","TAXREV","TOT","PC_GDP","A","2018",34.975,
"CZE","TAXREV","TOT","PC_GDP","A","2019",34.778,
"CZE","TAXREV","TOT","PC_GDP","A","2020",34.727,
"CZE","TAXREV","TOT","PC_GDP","A","2021",33.842,
"DNK","TAXREV","TOT","PC_GDP","A","2018",44.175,
"DNK","TAXREV","TOT","PC_GDP","A","2019",46.896,
"DNK","TAXREV","TOT","PC_GDP","A","2020",47.111,
"DNK","TAXREV","TOT","PC_GDP","A","2021",46.883,
"FIN","TAXREV","TOT","PC_GDP","A","2018",42.387,
"FIN","TAXREV","TOT","PC_GDP","A","2019",42.291,
"FIN","TAXREV","TOT","PC_GDP","A","2020",41.845,
"FIN","TAXREV","TOT","PC_GDP","A","2021",42.993,
"FRA","TAXREV","TOT","PC_GDP","A","2018",45.878,
"FRA","TAXREV","TOT","PC_GDP","A","2019",44.885,
"FRA","TAXREV","TOT","PC_GDP","A","2020",45.34,
"FRA","TAXREV","TOT","PC_GDP","A","2021",45.147,
"DEU","TAXREV","TOT","PC_GDP","A","2018",38.458,
"DEU","TAXREV","TOT","PC_GDP","A","2019",38.618,
"DEU","TAXREV","TOT","PC_GDP","A","2020",37.911,
"DEU","TAXREV","TOT","PC_GDP","A","2021",39.512,
"GRC","TAXREV","TOT","PC_GDP","A","2018",40.022,
"GRC","TAXREV","TOT","PC_GDP","A","2019",39.502,
"GRC","TAXREV","TOT","PC_GDP","A","2020",38.861,
"GRC","TAXREV","TOT","PC_GDP","A","2021",38.991,
"HUN","TAXREV","TOT","PC_GDP","A","2018",36.785,
"HUN","TAXREV","TOT","PC_GDP","A","2019",36.416,
"HUN","TAXREV","TOT","PC_GDP","A","2020",36.095,
"HUN","TAXREV","TOT","PC_GDP","A","2021",34.004,
"ISL","TAXREV","TOT","PC_GDP","A","2018",36.452,
"ISL","TAXREV","TOT","PC_GDP","A","2019",34.889,
