"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","A","2018",1.911401,
"AUS","CPI","TOT","AGRWTH","A","2019",1.610768,
"AUS","CPI","TOT","AGRWTH","A","2020",0.8469055,
"AUS","CPI","TOT","AGRWTH","A","2021",2.86391,
"AUS","CPI","TOT","AGRWTH","A","2022",6.594097,
"AUT","CPI","TOT","AGRWTH","A","2018",1.998382,
"AUT","CPI","TOT","AGRWTH","A","2019",1.530896,
"AUT","CPI","TOT","AGRWTH","A","2020",1.381909,
"AUT","CPI","TOT","AGRWTH","A","2021",2.766667,
"AUT","CPI","TOT","AGRWTH","A","2022",8.54687,
"BEL","CPI","TOT","AGRWTH","A","2018",2.053165,
"BEL","CPI","TOT","AGRWTH","A","2019",1.43682,
"BEL","CPI","TOT","AGRWTH","A","2020",0.7407918,
"BEL","CPI","TOT","AGRWTH","A","2021",2.440248,
"BEL","CPI","TOT","AGRWTH","A","2022",9.597511,
"CAN","CPI","TOT","AGRWTH","A","2018",2.268226,
"CAN","CPI","TOT","AGRWTH","A","2019",1.949269,
"CAN","CPI","TOT","AGRWTH","A","2020",0.7169997,
"CAN","CPI","TOT","AGRWTH","A","2021",3.395193,
"CAN","CPI","TOT","AGRWTH","A","2022",6.802801,
"CZE","CPI","TOT","AGRWTH","A","2018",2.149495,
"CZE","CPI","TOT","AGRWTH","A","2019",2.847876,
"CZE","CPI","TOT","AGRWTH","A","2020",3.161295,
"CZE","CPI","TOT","AGRWTH","A","2021",3.839845,
"CZE","CPI","TOT","AGRWTH","A","2022",15.10017,
"DNK","CPI","TOT","AGRWTH","A","2018",0.8136095,
"DNK","CPI","TOT","AGRWTH","A","2019",0.7581316,
"DNK","CPI","TOT","AGRWTH","A","2020",0.420712,
"DNK","CPI","TOT","AGRWTH","A","2021",1.853045,
"DNK","CPI","TOT","AGRWTH","A","2022",7.696567,
"FIN","CPI","TOT","AGRWTH","A","2018",1.083821,
